id,titulo,marca,categoria,precio_actual,precio_original,descuento_pct,vendidos,stock_disponible,tipo_logistica,envio_gratis,medalla_vendedor,cuotas_sin_interes,cantidad_cuotas,condicion
MLA1248823072,Celular Apple iPhone 14 128GB 128GB,Apple,Celulares y Smartphones,2413422,2413422,0,1161,36,drop_off,Sí,platinum,Sí,6,new
MLA1652003295,Celular Apple iPhone 12 128GB 128GB,Apple,Celulares y Smartphones,2643484,2643484,0,382,38,fulfillment,Sí,Vendedor Estándar,Sí,6,new
MLA1858979448,Celular Apple iPhone 11 64GB 128GB,Apple,Celulares y Smartphones,1253657,1392952,10,887,16,fulfillment,Sí,platinum,Sí,6,new
MLA1121978369,Celular Samsung Galaxy A54 5G 128GB,Samsung,Celulares y Smartphones,362676,362676,0,155,6,fulfillment,Sí,Vendedor Estándar,No,1,new
MLA1019202288,Celular Motorola Moto G54 128GB,Motorola,Celulares y Smartphones,356925,475900,25,1554,23,fulfillment,Sí,platinum,Sí,6,new
MLA1488642260,Celular Apple iPhone 13 128GB 128GB,Apple,Celulares y Smartphones,1765047,2206308,20,787,15,fulfillment,Sí,gold,Sí,6,new
MLA1500753162,Celular Motorola Moto Edge 40 Neo 128GB,Motorola,Celulares y Smartphones,1247979,1247979,0,291,30,fulfillment,Sí,silver,Sí,6,new
MLA1883147892,Celular Xiaomi Redmi Note 13 Pro 128GB,Xiaomi,Celulares y Smartphones,330606,330606,0,936,7,fulfillment,Sí,gold,Sí,6,new
MLA1340460359,Celular Apple iPhone 13 128GB 128GB,Apple,Celulares y Smartphones,1155879,1155879,0,1511,7,fulfillment,Sí,Vendedor Estándar,No,1,new
MLA1646808251,Celular Samsung Galaxy A14 128GB,Samsung,Celulares y Smartphones,459543,459543,0,692,33,drop_off,Sí,gold,No,1,new
MLA1536187907,Celular Motorola Moto Edge 40 Neo 128GB,Motorola,Celulares y Smartphones,991128,991128,0,796,17,fulfillment,Sí,platinum,No,1,new
MLA1319125130,Celular Apple iPhone 13 128GB 128GB,Apple,Celulares y Smartphones,1669902,1669902,0,1465,19,fulfillment,Sí,silver,No,1,new
MLA1880989312,Celular Xiaomi Xiaomi 13T 128GB,Xiaomi,Celulares y Smartphones,276951,325824,15,141,14,fulfillment,Sí,Vendedor Estándar,Sí,6,new
MLA1349603264,Celular Samsung Galaxy A54 5G 128GB,Samsung,Celulares y Smartphones,199655,249568,20,708,3,fulfillment,Sí,gold,No,1,new
MLA1751928995,Celular Apple iPhone 14 128GB 128GB,Apple,Celulares y Smartphones,1914315,2552420,25,135,14,fulfillment,Sí,Vendedor Estándar,Sí,6,new
MLA1688926425,Celular Xiaomi Poco X6 Pro 128GB,Xiaomi,Celulares y Smartphones,381914,381914,0,585,5,cross_docking,Sí,platinum,Sí,6,new
MLA1510936652,Celular Xiaomi Poco X6 Pro 128GB,Xiaomi,Celulares y Smartphones,388280,388280,0,414,37,fulfillment,Sí,Vendedor Estándar,Sí,6,new
MLA1622163136,Celular Apple iPhone 14 128GB 128GB,Apple,Celulares y Smartphones,1371349,1714186,20,674,7,fulfillment,Sí,Vendedor Estándar,Sí,6,new
MLA1745360940,Celular Apple iPhone 12 128GB 128GB,Apple,Celulares y Smartphones,2198046,2198046,0,1268,24,fulfillment,Sí,platinum,No,1,new
MLA1538976478,Celular Apple iPhone 15 Pro Max 128GB,Apple,Celulares y Smartphones,1515190,1515190,0,1016,6,cross_docking,Sí,gold,Sí,6,new
MLA1238735687,Celular Motorola Moto G84 5G 128GB,Motorola,Celulares y Smartphones,341469,341469,0,938,32,drop_off,Sí,gold,Sí,6,new
MLA1061972497,Celular Apple iPhone 12 128GB 128GB,Apple,Celulares y Smartphones,1629546,1629546,0,1611,6,drop_off,Sí,Vendedor Estándar,No,1,new
MLA1677990678,Celular Motorola Moto G84 5G 128GB,Motorola,Celulares y Smartphones,480708,480708,0,1368,12,fulfillment,Sí,Vendedor Estándar,Sí,6,new
MLA1534098578,Celular Samsung Galaxy S23 Ultra 128GB,Samsung,Celulares y Smartphones,849925,849925,0,948,22,fulfillment,Sí,gold,Sí,6,new
MLA1594797215,Celular Samsung Galaxy A14 128GB,Samsung,Celulares y Smartphones,363449,363449,0,62,35,cross_docking,Sí,gold,Sí,6,new
MLA1074981588,Celular Apple iPhone 15 Pro Max 128GB,Apple,Celulares y Smartphones,1921533,2135036,10,1688,9,cross_docking,Sí,platinum,Sí,6,new
MLA1993169669,Celular Samsung Galaxy S24 Pro 128GB,Samsung,Celulares y Smartphones,1031248,1031248,0,1716,23,drop_off,Sí,Vendedor Estándar,No,1,new
MLA1212553780,Celular Motorola Moto G84 5G 128GB,Motorola,Celulares y Smartphones,373998,415553,10,144,38,cross_docking,Sí,Vendedor Estándar,Sí,6,new
MLA1083488920,Celular Apple iPhone 11 64GB 128GB,Apple,Celulares y Smartphones,1042460,1042460,0,1505,9,fulfillment,Sí,Vendedor Estándar,No,1,new
MLA1959956816,Celular Samsung Galaxy S23 Ultra 128GB,Samsung,Celulares y Smartphones,1093185,1093185,0,667,35,drop_off,Sí,platinum,No,1,new
MLA1171954236,Celular Samsung Galaxy A14 128GB,Samsung,Celulares y Smartphones,361311,361311,0,1644,25,fulfillment,Sí,gold,Sí,6,new
MLA1607460433,Celular Samsung Galaxy S24 Pro 128GB,Samsung,Celulares y Smartphones,1160028,1160028,0,1014,31,drop_off,Sí,gold,Sí,6,new
MLA1147888198,Celular Samsung Galaxy A54 5G 128GB,Samsung,Celulares y Smartphones,503918,559908,10,1026,8,fulfillment,Sí,Vendedor Estándar,Sí,6,new
MLA1899896428,Celular Xiaomi Redmi 12C 128GB,Xiaomi,Celulares y Smartphones,507298,596821,15,1461,32,cross_docking,Sí,silver,No,1,new
MLA1038682011,Celular Samsung Galaxy Z Flip5 128GB,Samsung,Celulares y Smartphones,507241,507241,0,219,9,cross_docking,Sí,gold,No,1,new
MLA1570454733,Celular Xiaomi Xiaomi 13T 128GB,Xiaomi,Celulares y Smartphones,216265,240294,10,28,9,fulfillment,Sí,Vendedor Estándar,No,1,new
MLA1117682556,Celular Samsung Galaxy A14 128GB,Samsung,Celulares y Smartphones,352824,352824,0,1038,6,fulfillment,Sí,Vendedor Estándar,Sí,6,new
MLA1084067972,Celular Apple iPhone 11 64GB 128GB,Apple,Celulares y Smartphones,2376032,2970040,20,776,3,fulfillment,Sí,gold,Sí,6,new
MLA1827680574,Celular Samsung Galaxy A54 5G 128GB,Samsung,Celulares y Smartphones,362813,362813,0,56,36,cross_docking,Sí,platinum,Sí,6,new
MLA1367746623,Celular Samsung Galaxy S23 Ultra 128GB,Samsung,Celulares y Smartphones,896566,896566,0,1154,30,drop_off,Sí,gold,Sí,6,new
MLA1831073392,Celular Motorola Moto Edge 30 Ultra 128GB,Motorola,Celulares y Smartphones,1334906,1334906,0,514,18,drop_off,Sí,gold,Sí,6,new
MLA1951696307,Celular Xiaomi Redmi Note 13 Pro 128GB,Xiaomi,Celulares y Smartphones,201020,201020,0,1825,6,drop_off,Sí,Vendedor Estándar,No,1,new
MLA1526877816,Celular Apple iPhone 11 64GB 128GB,Apple,Celulares y Smartphones,1113802,1113802,0,611,29,fulfillment,Sí,Vendedor Estándar,No,1,new
MLA1050405173,Celular Motorola Moto E13 128GB,Motorola,Celulares y Smartphones,505665,505665,0,280,2,fulfillment,Sí,platinum,No,1,new
MLA1137179640,Celular Motorola Moto G84 5G 128GB,Motorola,Celulares y Smartphones,475449,475449,0,231,18,fulfillment,Sí,gold,Sí,6,new
MLA1748412138,Celular Apple iPhone 13 128GB 128GB,Apple,Celulares y Smartphones,2008132,2008132,0,1158,5,fulfillment,Sí,Vendedor Estándar,No,1,new
MLA1996431193,Celular Xiaomi Redmi Note 12 5G 128GB,Xiaomi,Celulares y Smartphones,181920,214023,15,349,38,cross_docking,Sí,platinum,No,1,new
MLA1902978088,Celular Motorola Moto G84 5G 128GB,Motorola,Celulares y Smartphones,330442,330442,0,1109,16,drop_off,Sí,gold,Sí,6,new
MLA1326157290,Celular Samsung Galaxy A14 128GB,Samsung,Celulares y Smartphones,332240,332240,0,1724,38,drop_off,Sí,platinum,No,1,new
MLA1844213337,Celular Motorola Moto G54 128GB,Motorola,Celulares y Smartphones,497651,497651,0,1782,15,cross_docking,Sí,Vendedor Estándar,Sí,6,new
MLA1912549766,Celular Samsung Galaxy Z Flip5 128GB,Samsung,Celulares y Smartphones,216479,216479,0,327,17,fulfillment,Sí,silver,No,1,new
MLA1354224197,Celular Motorola Moto Edge 30 Ultra 128GB,Motorola,Celulares y Smartphones,1378499,1378499,0,509,29,drop_off,Sí,Vendedor Estándar,No,1,new
MLA1302014446,Celular Samsung Galaxy A14 128GB,Samsung,Celulares y Smartphones,402901,402901,0,98,26,cross_docking,Sí,platinum,Sí,6,new
MLA1805856495,Celular Apple iPhone 11 64GB 128GB,Apple,Celulares y Smartphones,2749216,2749216,0,248,10,cross_docking,Sí,silver,Sí,6,new
MLA1342215890,Celular Motorola Moto E13 128GB,Motorola,Celulares y Smartphones,479602,532891,10,1606,11,fulfillment,Sí,Vendedor Estándar,Sí,6,new
MLA1203355378,Celular Apple iPhone 11 64GB 128GB,Apple,Celulares y Smartphones,2589881,2589881,0,356,37,fulfillment,Sí,gold,No,1,new
MLA1308265769,Celular Motorola Moto G54 128GB,Motorola,Celulares y Smartphones,246171,246171,0,1348,18,fulfillment,Sí,Vendedor Estándar,No,1,new
MLA1489478340,Celular Apple iPhone 15 Pro Max 128GB,Apple,Celulares y Smartphones,1916901,1916901,0,748,24,cross_docking,Sí,Vendedor Estándar,Sí,6,new
MLA1885030704,Celular Xiaomi Redmi 12C 128GB,Xiaomi,Celulares y Smartphones,319387,319387,0,82,10,drop_off,Sí,platinum,No,1,new
MLA1825300087,Celular Xiaomi Poco X6 Pro 128GB,Xiaomi,Celulares y Smartphones,279562,279562,0,1252,2,fulfillment,Sí,Vendedor Estándar,No,1,new
MLA1464732825,Celular Motorola Moto G54 128GB,Motorola,Celulares y Smartphones,445716,445716,0,442,13,drop_off,Sí,Vendedor Estándar,Sí,6,new
MLA1051749667,Celular Xiaomi Redmi 12C 128GB,Xiaomi,Celulares y Smartphones,191188,191188,0,1170,33,cross_docking,Sí,Vendedor Estándar,No,1,new
MLA1069752956,Celular Xiaomi Xiaomi 13T 128GB,Xiaomi,Celulares y Smartphones,186161,186161,0,1288,8,cross_docking,Sí,Vendedor Estándar,No,1,new
MLA1542310422,Celular Samsung Galaxy A54 5G 128GB,Samsung,Celulares y Smartphones,294841,368551,20,928,23,fulfillment,Sí,silver,Sí,6,new
MLA1757396769,Celular Motorola Moto E13 128GB,Motorola,Celulares y Smartphones,447469,447469,0,376,26,cross_docking,Sí,Vendedor Estándar,Sí,6,new
MLA1074791709,Celular Motorola Moto G84 5G 128GB,Motorola,Celulares y Smartphones,235416,235416,0,1086,21,fulfillment,Sí,platinum,No,1,new
MLA1309008937,Celular Motorola Moto Edge 30 Ultra 128GB,Motorola,Celulares y Smartphones,825699,825699,0,500,22,drop_off,Sí,gold,Sí,6,new
MLA1416299450,Celular Motorola Moto E13 128GB,Motorola,Celulares y Smartphones,372100,372100,0,1802,25,cross_docking,Sí,platinum,No,1,new
MLA1202368663,Celular Motorola Moto G54 128GB,Motorola,Celulares y Smartphones,260803,260803,0,652,25,cross_docking,Sí,platinum,No,1,new
MLA1805043412,Celular Samsung Galaxy A54 5G 128GB,Samsung,Celulares y Smartphones,443765,443765,0,1271,8,fulfillment,Sí,silver,Sí,6,new
MLA1220424846,Celular Xiaomi Redmi Note 12 5G 128GB,Xiaomi,Celulares y Smartphones,390482,390482,0,1763,11,drop_off,Sí,Vendedor Estándar,No,1,new
MLA1864296124,Celular Apple iPhone 12 128GB 128GB,Apple,Celulares y Smartphones,1617896,2022370,20,1709,33,fulfillment,Sí,Vendedor Estándar,No,1,new
MLA1253444663,Celular Samsung Galaxy S24 Pro 128GB,Samsung,Celulares y Smartphones,1230653,1230653,0,1677,8,fulfillment,Sí,silver,No,1,new
MLA1742104872,Celular Apple iPhone 14 128GB 128GB,Apple,Celulares y Smartphones,2089843,2458638,15,1607,26,fulfillment,Sí,platinum,No,1,new
MLA1392520559,Celular Samsung Galaxy A14 128GB,Samsung,Celulares y Smartphones,471583,471583,0,1341,24,fulfillment,Sí,platinum,Sí,6,new
MLA1248987548,Celular Apple iPhone 11 64GB 128GB,Apple,Celulares y Smartphones,1970219,1970219,0,320,18,drop_off,Sí,platinum,No,1,new
MLA1226789150,Celular Motorola Moto Edge 40 Neo 128GB,Motorola,Celulares y Smartphones,1403972,1403972,0,362,25,fulfillment,Sí,Vendedor Estándar,Sí,6,new
MLA1421113594,Celular Xiaomi Xiaomi 13T 128GB,Xiaomi,Celulares y Smartphones,469146,469146,0,1427,33,fulfillment,Sí,silver,Sí,6,new
MLA1918540731,Celular Apple iPhone 14 128GB 128GB,Apple,Celulares y Smartphones,1107872,1107872,0,971,8,drop_off,Sí,silver,Sí,6,new
MLA1676462680,Celular Xiaomi Redmi Note 13 Pro 128GB,Xiaomi,Celulares y Smartphones,434863,434863,0,951,11,fulfillment,Sí,gold,Sí,6,new
MLA1193558926,Celular Samsung Galaxy A54 5G 128GB,Samsung,Celulares y Smartphones,360539,360539,0,1201,13,cross_docking,Sí,Vendedor Estándar,Sí,6,new
MLA1686702750,Celular Motorola Moto G84 5G 128GB,Motorola,Celulares y Smartphones,364393,364393,0,565,8,fulfillment,Sí,Vendedor Estándar,No,1,new
MLA1626216578,Celular Apple iPhone 13 128GB 128GB,Apple,Celulares y Smartphones,2644565,3305706,20,1023,40,cross_docking,Sí,platinum,Sí,6,new
MLA1838718369,Celular Samsung Galaxy A54 5G 128GB,Samsung,Celulares y Smartphones,490595,490595,0,1771,31,drop_off,Sí,gold,No,1,new
MLA1823267196,Celular Apple iPhone 15 Pro Max 128GB,Apple,Celulares y Smartphones,1618858,1618858,0,1775,33,cross_docking,Sí,Vendedor Estándar,Sí,6,new
MLA1004409044,Celular Apple iPhone 11 64GB 128GB,Apple,Celulares y Smartphones,1171385,1378100,15,1841,17,cross_docking,Sí,Vendedor Estándar,Sí,6,new
MLA1856884351,Celular Motorola Moto E13 128GB,Motorola,Celulares y Smartphones,458074,508971,10,1194,27,fulfillment,Sí,Vendedor Estándar,Sí,6,new
MLA1478100542,Celular Apple iPhone 14 128GB 128GB,Apple,Celulares y Smartphones,1612153,1612153,0,561,21,cross_docking,Sí,platinum,No,1,new
MLA1965267791,Celular Xiaomi Redmi 12C 128GB,Xiaomi,Celulares y Smartphones,507875,507875,0,74,38,cross_docking,Sí,platinum,No,1,new
MLA1068782011,Celular Motorola Moto G54 128GB,Motorola,Celulares y Smartphones,403906,504882,20,689,14,fulfillment,Sí,Vendedor Estándar,Sí,6,new
MLA1099404371,Celular Motorola Moto Edge 30 Ultra 128GB,Motorola,Celulares y Smartphones,998072,1330762,25,1305,40,drop_off,Sí,platinum,Sí,6,new
MLA1094834906,Celular Xiaomi Redmi Note 13 Pro 128GB,Xiaomi,Celulares y Smartphones,459083,459083,0,1638,16,fulfillment,Sí,platinum,No,1,new
MLA1228237571,Celular Xiaomi Redmi Note 13 Pro 128GB,Xiaomi,Celulares y Smartphones,199438,234632,15,1071,27,drop_off,Sí,platinum,No,1,new
MLA1856157591,Celular Apple iPhone 13 128GB 128GB,Apple,Celulares y Smartphones,1138287,1138287,0,1236,30,drop_off,Sí,gold,Sí,6,new
MLA1965416728,Celular Apple iPhone 12 128GB 128GB,Apple,Celulares y Smartphones,1398229,1398229,0,1176,34,fulfillment,Sí,Vendedor Estándar,Sí,6,new
MLA1116463259,Celular Xiaomi Xiaomi 13T 128GB,Xiaomi,Celulares y Smartphones,284808,284808,0,531,2,drop_off,Sí,gold,No,1,new
MLA1960704930,Celular Apple iPhone 12 128GB 128GB,Apple,Celulares y Smartphones,2687930,3359912,20,288,38,drop_off,Sí,Vendedor Estándar,Sí,6,new
MLA1218258258,Celular Motorola Moto E13 128GB,Motorola,Celulares y Smartphones,463313,514792,10,122,28,fulfillment,Sí,gold,Sí,6,new
MLA1760730107,Celular Samsung Galaxy A54 5G 128GB,Samsung,Celulares y Smartphones,276963,346203,20,1003,24,fulfillment,Sí,gold,No,1,new
MLA1968651255,Celular Samsung Galaxy Z Flip5 128GB,Samsung,Celulares y Smartphones,332752,332752,0,574,20,fulfillment,Sí,Vendedor Estándar,Sí,6,new
MLA1483423610,Celular Motorola Moto Edge 30 Ultra 128GB,Motorola,Celulares y Smartphones,1330625,1330625,0,1678,35,drop_off,Sí,Vendedor Estándar,No,1,new
