id,titulo,marca,categoria,precio_actual,precio_original,descuento_pct,vendidos,stock_disponible,tipo_logistica,envio_gratis,medalla_vendedor,cuotas_sin_interes,cantidad_cuotas,condicion,gama_precio,facturacion_estimada_ars,es_envio_full,es_mercadolider
MLA1411492314,Celular Xiaomi Redmi Note 13 Pro 128GB,Xiaomi,Celulares y Smartphones,194118,228374,15,767,2,Envío Full (Fulfillment),Sí,Vendedor Estándar,No,1,new,Gama Entrada (< $300k),148888506,1,0
MLA1176880721,Celular Motorola Moto G54 128GB,Motorola,Celulares y Smartphones,457457,457457,0,560,35,Despacho en Correo,Sí,MercadoLíder Platinum,Sí,6,new,Gama Media ($300k - $700k),256175920,0,1
MLA1545197087,Celular Samsung Galaxy S24 Pro 128GB,Samsung,Celulares y Smartphones,1436055,1436055,0,1754,26,Despacho en Correo,Sí,MercadoLíder Platinum,Sí,6,new,Gama Alta (> $700k),2518840470,0,1
MLA1215476326,Celular Apple iPhone 11 64GB 128GB,Apple,Celulares y Smartphones,1219827,1524783,20,498,9,Despacho en Correo,Sí,MercadoLíder Platinum,Sí,6,new,Gama Alta (> $700k),607473846,0,1
MLA1408533416,Celular Apple iPhone 15 Pro Max 128GB,Apple,Celulares y Smartphones,971813,1295750,25,1109,13,Envío Full (Fulfillment),Sí,MercadoLíder Platinum,Sí,6,new,Gama Alta (> $700k),1077740617,1,1
MLA1104484761,Celular Motorola Moto Edge 30 Ultra 128GB,Motorola,Celulares y Smartphones,1446969,1702316,15,1030,19,Envío Full (Fulfillment),Sí,MercadoLíder Gold,No,1,new,Gama Alta (> $700k),1490378070,1,1
MLA1098215752,Celular Xiaomi Xiaomi 13T 128GB,Xiaomi,Celulares y Smartphones,274621,274621,0,520,20,Despacho en Correo,Sí,MercadoLíder Silver,Sí,6,new,Gama Entrada (< $300k),142802920,0,1
MLA1881292822,Celular Samsung Galaxy A54 5G 128GB,Samsung,Celulares y Smartphones,410248,410248,0,793,40,Envío Full (Fulfillment),Sí,MercadoLíder Gold,Sí,6,new,Gama Media ($300k - $700k),325326664,1,1
MLA1438521171,Celular Motorola Moto Edge 40 Neo 128GB,Motorola,Celulares y Smartphones,885051,885051,0,1732,32,Colecta / Depósito,Sí,MercadoLíder Silver,Sí,6,new,Gama Alta (> $700k),1532908332,0,1
MLA1932461056,Celular Motorola Moto G84 5G 128GB,Motorola,Celulares y Smartphones,500093,500093,0,540,36,Envío Full (Fulfillment),Sí,MercadoLíder Platinum,Sí,6,new,Gama Media ($300k - $700k),270050220,1,1
MLA1390459261,Celular Motorola Moto E13 128GB,Motorola,Celulares y Smartphones,397156,397156,0,1261,39,Envío Full (Fulfillment),Sí,Vendedor Estándar,No,1,new,Gama Media ($300k - $700k),500813716,1,0
MLA1603692294,Celular Motorola Moto E13 128GB,Motorola,Celulares y Smartphones,237274,237274,0,930,14,Envío Full (Fulfillment),Sí,Vendedor Estándar,No,1,new,Gama Entrada (< $300k),220664820,1,0
MLA1075444871,Celular Apple iPhone 11 64GB 128GB,Apple,Celulares y Smartphones,1697837,1697837,0,1735,35,Colecta / Depósito,Sí,MercadoLíder Platinum,Sí,6,new,Gama Alta (> $700k),2945747195,0,1
MLA1805871813,Celular Xiaomi Poco X6 Pro 128GB,Xiaomi,Celulares y Smartphones,345213,345213,0,863,28,Envío Full (Fulfillment),Sí,MercadoLíder Platinum,Sí,6,new,Gama Media ($300k - $700k),297918819,1,1
MLA1284190340,Celular Apple iPhone 11 64GB 128GB,Apple,Celulares y Smartphones,2696584,2696584,0,1115,20,Despacho en Correo,Sí,MercadoLíder Platinum,Sí,6,new,Gama Alta (> $700k),3006691160,0,1
MLA1275443231,Celular Motorola Moto Edge 40 Neo 128GB,Motorola,Celulares y Smartphones,1438735,1438735,0,119,33,Colecta / Depósito,Sí,MercadoLíder Gold,No,1,new,Gama Alta (> $700k),171209465,0,1
MLA1455586920,Celular Apple iPhone 13 128GB 128GB,Apple,Celulares y Smartphones,1807283,1807283,0,757,14,Colecta / Depósito,Sí,Vendedor Estándar,No,1,new,Gama Alta (> $700k),1368113231,0,0
MLA1312084480,Celular Motorola Moto Edge 30 Ultra 128GB,Motorola,Celulares y Smartphones,864365,864365,0,1529,6,Colecta / Depósito,Sí,Vendedor Estándar,Sí,6,new,Gama Alta (> $700k),1321614085,0,0
MLA1348303794,Celular Motorola Moto G54 128GB,Motorola,Celulares y Smartphones,297586,350101,15,1156,26,Envío Full (Fulfillment),Sí,MercadoLíder Gold,No,1,new,Gama Entrada (< $300k),344009416,1,1
MLA1336088122,Celular Motorola Moto G54 128GB,Motorola,Celulares y Smartphones,224129,249032,10,474,38,Envío Full (Fulfillment),Sí,Vendedor Estándar,No,1,new,Gama Entrada (< $300k),106237146,1,0
MLA1600113905,Celular Xiaomi Redmi Note 12 5G 128GB,Xiaomi,Celulares y Smartphones,191345,239181,20,856,30,Colecta / Depósito,Sí,Vendedor Estándar,No,1,new,Gama Entrada (< $300k),163791320,0,0
MLA1330478854,Celular Motorola Moto G54 128GB,Motorola,Celulares y Smartphones,419600,493647,15,577,12,Envío Full (Fulfillment),Sí,Vendedor Estándar,Sí,6,new,Gama Media ($300k - $700k),242109200,1,0
MLA1782112760,Celular Motorola Moto G54 128GB,Motorola,Celulares y Smartphones,517041,517041,0,402,31,Colecta / Depósito,Sí,MercadoLíder Platinum,Sí,6,new,Gama Media ($300k - $700k),207850482,0,1
MLA1577786272,Celular Motorola Moto Edge 30 Ultra 128GB,Motorola,Celulares y Smartphones,786040,786040,0,1267,28,Envío Full (Fulfillment),Sí,MercadoLíder Silver,No,1,new,Gama Alta (> $700k),995912680,1,1
MLA1775730367,Celular Samsung Galaxy S23 Ultra 128GB,Samsung,Celulares y Smartphones,914795,914795,0,554,22,Despacho en Correo,Sí,Vendedor Estándar,No,1,new,Gama Alta (> $700k),506796430,0,0
MLA1499777715,Celular Motorola Moto E13 128GB,Motorola,Celulares y Smartphones,289093,289093,0,966,22,Despacho en Correo,Sí,MercadoLíder Platinum,Sí,6,new,Gama Entrada (< $300k),279263838,0,1
MLA1950555444,Celular Motorola Moto Edge 30 Ultra 128GB,Motorola,Celulares y Smartphones,1100188,1100188,0,1451,17,Envío Full (Fulfillment),Sí,MercadoLíder Gold,Sí,6,new,Gama Alta (> $700k),1596372788,1,1
MLA1444067355,Celular Xiaomi Xiaomi 13T 128GB,Xiaomi,Celulares y Smartphones,253480,253480,0,1849,36,Envío Full (Fulfillment),Sí,MercadoLíder Platinum,No,1,new,Gama Entrada (< $300k),468684520,1,1
MLA1476840586,Celular Apple iPhone 15 Pro Max 128GB,Apple,Celulares y Smartphones,1557611,2076814,25,1282,33,Envío Full (Fulfillment),Sí,MercadoLíder Platinum,Sí,6,new,Gama Alta (> $700k),1996857302,1,1
MLA1720210132,Celular Samsung Galaxy Z Flip5 128GB,Samsung,Celulares y Smartphones,431930,431930,0,240,8,Colecta / Depósito,Sí,MercadoLíder Platinum,Sí,6,new,Gama Media ($300k - $700k),103663200,0,1
MLA1852428877,Celular Motorola Moto Edge 30 Ultra 128GB,Motorola,Celulares y Smartphones,917136,917136,0,1239,35,Envío Full (Fulfillment),Sí,MercadoLíder Platinum,No,1,new,Gama Alta (> $700k),1136331504,1,1
MLA1127467297,Celular Motorola Moto E13 128GB,Motorola,Celulares y Smartphones,405841,477460,15,141,3,Despacho en Correo,Sí,Vendedor Estándar,Sí,6,new,Gama Media ($300k - $700k),57223581,0,0
MLA1091614410,Celular Xiaomi Poco X6 Pro 128GB,Xiaomi,Celulares y Smartphones,375795,375795,0,928,9,Envío Full (Fulfillment),Sí,MercadoLíder Platinum,No,1,new,Gama Media ($300k - $700k),348737760,1,1
MLA1529757818,Celular Apple iPhone 11 64GB 128GB,Apple,Celulares y Smartphones,1823455,2431273,25,161,27,Envío Full (Fulfillment),Sí,MercadoLíder Platinum,No,1,new,Gama Alta (> $700k),293576255,1,1
MLA1699597452,Celular Samsung Galaxy S23 Ultra 128GB,Samsung,Celulares y Smartphones,1439245,1799056,20,972,4,Colecta / Depósito,Sí,MercadoLíder Silver,Sí,6,new,Gama Alta (> $700k),1398946140,0,1
MLA1297897647,Celular Motorola Moto Edge 30 Ultra 128GB,Motorola,Celulares y Smartphones,1015229,1015229,0,1510,36,Despacho en Correo,Sí,MercadoLíder Gold,Sí,6,new,Gama Alta (> $700k),1532995790,0,1
MLA1266501220,Celular Motorola Moto G54 128GB,Motorola,Celulares y Smartphones,423195,423195,0,1235,30,Envío Full (Fulfillment),Sí,MercadoLíder Platinum,No,1,new,Gama Media ($300k - $700k),522645825,1,1
MLA1392113262,Celular Xiaomi Redmi Note 13 Pro 128GB,Xiaomi,Celulares y Smartphones,353689,353689,0,262,22,Despacho en Correo,Sí,Vendedor Estándar,Sí,6,new,Gama Media ($300k - $700k),92666518,0,0
MLA1997350860,Celular Samsung Galaxy Z Flip5 128GB,Samsung,Celulares y Smartphones,359713,359713,0,393,20,Colecta / Depósito,Sí,MercadoLíder Platinum,Sí,6,new,Gama Media ($300k - $700k),141367209,0,1
MLA1936286732,Celular Motorola Moto E13 128GB,Motorola,Celulares y Smartphones,320964,356626,10,983,39,Despacho en Correo,Sí,Vendedor Estándar,Sí,6,new,Gama Media ($300k - $700k),315507612,0,0
MLA1229871319,Celular Samsung Galaxy Z Flip5 128GB,Samsung,Celulares y Smartphones,188499,188499,0,991,28,Colecta / Depósito,Sí,MercadoLíder Platinum,No,1,new,Gama Entrada (< $300k),186802509,0,1
MLA1497524203,Celular Samsung Galaxy A14 128GB,Samsung,Celulares y Smartphones,477431,477431,0,869,13,Despacho en Correo,Sí,Vendedor Estándar,Sí,6,new,Gama Media ($300k - $700k),414887539,0,0
MLA1836324721,Celular Motorola Moto G84 5G 128GB,Motorola,Celulares y Smartphones,323355,323355,0,145,21,Despacho en Correo,Sí,MercadoLíder Silver,No,1,new,Gama Media ($300k - $700k),46886475,0,1
MLA1075845616,Celular Apple iPhone 11 64GB 128GB,Apple,Celulares y Smartphones,1253043,1253043,0,1818,9,Colecta / Depósito,Sí,MercadoLíder Platinum,No,1,new,Gama Alta (> $700k),2278032174,0,1
MLA1189414802,Celular Xiaomi Redmi Note 12 5G 128GB,Xiaomi,Celulares y Smartphones,342744,342744,0,1344,34,Envío Full (Fulfillment),Sí,Vendedor Estándar,Sí,6,new,Gama Media ($300k - $700k),460647936,1,0
MLA1157104614,Celular Xiaomi Redmi Note 13 Pro 128GB,Xiaomi,Celulares y Smartphones,470244,470244,0,259,10,Envío Full (Fulfillment),Sí,Vendedor Estándar,No,1,new,Gama Media ($300k - $700k),121793196,1,0
MLA1248823072,Celular Apple iPhone 14 128GB 128GB,Apple,Celulares y Smartphones,2413422,2413422,0,1161,36,Despacho en Correo,Sí,MercadoLíder Platinum,Sí,6,new,Gama Alta (> $700k),2801982942,0,1
MLA1652003295,Celular Apple iPhone 12 128GB 128GB,Apple,Celulares y Smartphones,2643484,2643484,0,382,38,Envío Full (Fulfillment),Sí,Vendedor Estándar,Sí,6,new,Gama Alta (> $700k),1009810888,1,0
MLA1858979448,Celular Apple iPhone 11 64GB 128GB,Apple,Celulares y Smartphones,1253657,1392952,10,887,16,Envío Full (Fulfillment),Sí,MercadoLíder Platinum,Sí,6,new,Gama Alta (> $700k),1111993759,1,1
MLA1121978369,Celular Samsung Galaxy A54 5G 128GB,Samsung,Celulares y Smartphones,362676,362676,0,155,6,Envío Full (Fulfillment),Sí,Vendedor Estándar,No,1,new,Gama Media ($300k - $700k),56214780,1,0
MLA1019202288,Celular Motorola Moto G54 128GB,Motorola,Celulares y Smartphones,356925,475900,25,1554,23,Envío Full (Fulfillment),Sí,MercadoLíder Platinum,Sí,6,new,Gama Media ($300k - $700k),554661450,1,1
MLA1488642260,Celular Apple iPhone 13 128GB 128GB,Apple,Celulares y Smartphones,1765047,2206308,20,787,15,Envío Full (Fulfillment),Sí,MercadoLíder Gold,Sí,6,new,Gama Alta (> $700k),1389091989,1,1
MLA1500753162,Celular Motorola Moto Edge 40 Neo 128GB,Motorola,Celulares y Smartphones,1247979,1247979,0,291,30,Envío Full (Fulfillment),Sí,MercadoLíder Silver,Sí,6,new,Gama Alta (> $700k),363161889,1,1
MLA1883147892,Celular Xiaomi Redmi Note 13 Pro 128GB,Xiaomi,Celulares y Smartphones,330606,330606,0,936,7,Envío Full (Fulfillment),Sí,MercadoLíder Gold,Sí,6,new,Gama Media ($300k - $700k),309447216,1,1
MLA1340460359,Celular Apple iPhone 13 128GB 128GB,Apple,Celulares y Smartphones,1155879,1155879,0,1511,7,Envío Full (Fulfillment),Sí,Vendedor Estándar,No,1,new,Gama Alta (> $700k),1746533169,1,0
MLA1646808251,Celular Samsung Galaxy A14 128GB,Samsung,Celulares y Smartphones,459543,459543,0,692,33,Despacho en Correo,Sí,MercadoLíder Gold,No,1,new,Gama Media ($300k - $700k),318003756,0,1
MLA1536187907,Celular Motorola Moto Edge 40 Neo 128GB,Motorola,Celulares y Smartphones,991128,991128,0,796,17,Envío Full (Fulfillment),Sí,MercadoLíder Platinum,No,1,new,Gama Alta (> $700k),788937888,1,1
MLA1319125130,Celular Apple iPhone 13 128GB 128GB,Apple,Celulares y Smartphones,1669902,1669902,0,1465,19,Envío Full (Fulfillment),Sí,MercadoLíder Silver,No,1,new,Gama Alta (> $700k),2446406430,1,1
MLA1880989312,Celular Xiaomi Xiaomi 13T 128GB,Xiaomi,Celulares y Smartphones,276951,325824,15,141,14,Envío Full (Fulfillment),Sí,Vendedor Estándar,Sí,6,new,Gama Entrada (< $300k),39050091,1,0
MLA1349603264,Celular Samsung Galaxy A54 5G 128GB,Samsung,Celulares y Smartphones,199655,249568,20,708,3,Envío Full (Fulfillment),Sí,MercadoLíder Gold,No,1,new,Gama Entrada (< $300k),141355740,1,1
MLA1751928995,Celular Apple iPhone 14 128GB 128GB,Apple,Celulares y Smartphones,1914315,2552420,25,135,14,Envío Full (Fulfillment),Sí,Vendedor Estándar,Sí,6,new,Gama Alta (> $700k),258432525,1,0
MLA1688926425,Celular Xiaomi Poco X6 Pro 128GB,Xiaomi,Celulares y Smartphones,381914,381914,0,585,5,Colecta / Depósito,Sí,MercadoLíder Platinum,Sí,6,new,Gama Media ($300k - $700k),223419690,0,1
MLA1510936652,Celular Xiaomi Poco X6 Pro 128GB,Xiaomi,Celulares y Smartphones,388280,388280,0,414,37,Envío Full (Fulfillment),Sí,Vendedor Estándar,Sí,6,new,Gama Media ($300k - $700k),160747920,1,0
MLA1622163136,Celular Apple iPhone 14 128GB 128GB,Apple,Celulares y Smartphones,1371349,1714186,20,674,7,Envío Full (Fulfillment),Sí,Vendedor Estándar,Sí,6,new,Gama Alta (> $700k),924289226,1,0
MLA1745360940,Celular Apple iPhone 12 128GB 128GB,Apple,Celulares y Smartphones,2198046,2198046,0,1268,24,Envío Full (Fulfillment),Sí,MercadoLíder Platinum,No,1,new,Gama Alta (> $700k),2787122328,1,1
MLA1538976478,Celular Apple iPhone 15 Pro Max 128GB,Apple,Celulares y Smartphones,1515190,1515190,0,1016,6,Colecta / Depósito,Sí,MercadoLíder Gold,Sí,6,new,Gama Alta (> $700k),1539433040,0,1
MLA1238735687,Celular Motorola Moto G84 5G 128GB,Motorola,Celulares y Smartphones,341469,341469,0,938,32,Despacho en Correo,Sí,MercadoLíder Gold,Sí,6,new,Gama Media ($300k - $700k),320297922,0,1
MLA1061972497,Celular Apple iPhone 12 128GB 128GB,Apple,Celulares y Smartphones,1629546,1629546,0,1611,6,Despacho en Correo,Sí,Vendedor Estándar,No,1,new,Gama Alta (> $700k),2625198606,0,0
MLA1677990678,Celular Motorola Moto G84 5G 128GB,Motorola,Celulares y Smartphones,480708,480708,0,1368,12,Envío Full (Fulfillment),Sí,Vendedor Estándar,Sí,6,new,Gama Media ($300k - $700k),657608544,1,0
MLA1534098578,Celular Samsung Galaxy S23 Ultra 128GB,Samsung,Celulares y Smartphones,849925,849925,0,948,22,Envío Full (Fulfillment),Sí,MercadoLíder Gold,Sí,6,new,Gama Alta (> $700k),805728900,1,1
MLA1594797215,Celular Samsung Galaxy A14 128GB,Samsung,Celulares y Smartphones,363449,363449,0,62,35,Colecta / Depósito,Sí,MercadoLíder Gold,Sí,6,new,Gama Media ($300k - $700k),22533838,0,1
MLA1074981588,Celular Apple iPhone 15 Pro Max 128GB,Apple,Celulares y Smartphones,1921533,2135036,10,1688,9,Colecta / Depósito,Sí,MercadoLíder Platinum,Sí,6,new,Gama Alta (> $700k),3243547704,0,1
MLA1993169669,Celular Samsung Galaxy S24 Pro 128GB,Samsung,Celulares y Smartphones,1031248,1031248,0,1716,23,Despacho en Correo,Sí,Vendedor Estándar,No,1,new,Gama Alta (> $700k),1769621568,0,0
MLA1212553780,Celular Motorola Moto G84 5G 128GB,Motorola,Celulares y Smartphones,373998,415553,10,144,38,Colecta / Depósito,Sí,Vendedor Estándar,Sí,6,new,Gama Media ($300k - $700k),53855712,0,0
MLA1083488920,Celular Apple iPhone 11 64GB 128GB,Apple,Celulares y Smartphones,1042460,1042460,0,1505,9,Envío Full (Fulfillment),Sí,Vendedor Estándar,No,1,new,Gama Alta (> $700k),1568902300,1,0
MLA1959956816,Celular Samsung Galaxy S23 Ultra 128GB,Samsung,Celulares y Smartphones,1093185,1093185,0,667,35,Despacho en Correo,Sí,MercadoLíder Platinum,No,1,new,Gama Alta (> $700k),729154395,0,1
MLA1171954236,Celular Samsung Galaxy A14 128GB,Samsung,Celulares y Smartphones,361311,361311,0,1644,25,Envío Full (Fulfillment),Sí,MercadoLíder Gold,Sí,6,new,Gama Media ($300k - $700k),593995284,1,1
MLA1607460433,Celular Samsung Galaxy S24 Pro 128GB,Samsung,Celulares y Smartphones,1160028,1160028,0,1014,31,Despacho en Correo,Sí,MercadoLíder Gold,Sí,6,new,Gama Alta (> $700k),1176268392,0,1
MLA1147888198,Celular Samsung Galaxy A54 5G 128GB,Samsung,Celulares y Smartphones,503918,559908,10,1026,8,Envío Full (Fulfillment),Sí,Vendedor Estándar,Sí,6,new,Gama Media ($300k - $700k),517019868,1,0
MLA1899896428,Celular Xiaomi Redmi 12C 128GB,Xiaomi,Celulares y Smartphones,507298,596821,15,1461,32,Colecta / Depósito,Sí,MercadoLíder Silver,No,1,new,Gama Media ($300k - $700k),741162378,0,1
MLA1038682011,Celular Samsung Galaxy Z Flip5 128GB,Samsung,Celulares y Smartphones,507241,507241,0,219,9,Colecta / Depósito,Sí,MercadoLíder Gold,No,1,new,Gama Media ($300k - $700k),111085779,0,1
MLA1570454733,Celular Xiaomi Xiaomi 13T 128GB,Xiaomi,Celulares y Smartphones,216265,240294,10,28,9,Envío Full (Fulfillment),Sí,Vendedor Estándar,No,1,new,Gama Entrada (< $300k),6055420,1,0
MLA1117682556,Celular Samsung Galaxy A14 128GB,Samsung,Celulares y Smartphones,352824,352824,0,1038,6,Envío Full (Fulfillment),Sí,Vendedor Estándar,Sí,6,new,Gama Media ($300k - $700k),366231312,1,0
MLA1084067972,Celular Apple iPhone 11 64GB 128GB,Apple,Celulares y Smartphones,2376032,2970040,20,776,3,Envío Full (Fulfillment),Sí,MercadoLíder Gold,Sí,6,new,Gama Alta (> $700k),1843800832,1,1
MLA1827680574,Celular Samsung Galaxy A54 5G 128GB,Samsung,Celulares y Smartphones,362813,362813,0,56,36,Colecta / Depósito,Sí,MercadoLíder Platinum,Sí,6,new,Gama Media ($300k - $700k),20317528,0,1
MLA1367746623,Celular Samsung Galaxy S23 Ultra 128GB,Samsung,Celulares y Smartphones,896566,896566,0,1154,30,Despacho en Correo,Sí,MercadoLíder Gold,Sí,6,new,Gama Alta (> $700k),1034637164,0,1
MLA1831073392,Celular Motorola Moto Edge 30 Ultra 128GB,Motorola,Celulares y Smartphones,1334906,1334906,0,514,18,Despacho en Correo,Sí,MercadoLíder Gold,Sí,6,new,Gama Alta (> $700k),686141684,0,1
MLA1951696307,Celular Xiaomi Redmi Note 13 Pro 128GB,Xiaomi,Celulares y Smartphones,201020,201020,0,1825,6,Despacho en Correo,Sí,Vendedor Estándar,No,1,new,Gama Entrada (< $300k),366861500,0,0
MLA1526877816,Celular Apple iPhone 11 64GB 128GB,Apple,Celulares y Smartphones,1113802,1113802,0,611,29,Envío Full (Fulfillment),Sí,Vendedor Estándar,No,1,new,Gama Alta (> $700k),680533022,1,0
MLA1050405173,Celular Motorola Moto E13 128GB,Motorola,Celulares y Smartphones,505665,505665,0,280,2,Envío Full (Fulfillment),Sí,MercadoLíder Platinum,No,1,new,Gama Media ($300k - $700k),141586200,1,1
MLA1137179640,Celular Motorola Moto G84 5G 128GB,Motorola,Celulares y Smartphones,475449,475449,0,231,18,Envío Full (Fulfillment),Sí,MercadoLíder Gold,Sí,6,new,Gama Media ($300k - $700k),109828719,1,1
MLA1748412138,Celular Apple iPhone 13 128GB 128GB,Apple,Celulares y Smartphones,2008132,2008132,0,1158,5,Envío Full (Fulfillment),Sí,Vendedor Estándar,No,1,new,Gama Alta (> $700k),2325416856,1,0
MLA1996431193,Celular Xiaomi Redmi Note 12 5G 128GB,Xiaomi,Celulares y Smartphones,181920,214023,15,349,38,Colecta / Depósito,Sí,MercadoLíder Platinum,No,1,new,Gama Entrada (< $300k),63490080,0,1
MLA1902978088,Celular Motorola Moto G84 5G 128GB,Motorola,Celulares y Smartphones,330442,330442,0,1109,16,Despacho en Correo,Sí,MercadoLíder Gold,Sí,6,new,Gama Media ($300k - $700k),366460178,0,1
MLA1326157290,Celular Samsung Galaxy A14 128GB,Samsung,Celulares y Smartphones,332240,332240,0,1724,38,Despacho en Correo,Sí,MercadoLíder Platinum,No,1,new,Gama Media ($300k - $700k),572781760,0,1
MLA1844213337,Celular Motorola Moto G54 128GB,Motorola,Celulares y Smartphones,497651,497651,0,1782,15,Colecta / Depósito,Sí,Vendedor Estándar,Sí,6,new,Gama Media ($300k - $700k),886814082,0,0
MLA1912549766,Celular Samsung Galaxy Z Flip5 128GB,Samsung,Celulares y Smartphones,216479,216479,0,327,17,Envío Full (Fulfillment),Sí,MercadoLíder Silver,No,1,new,Gama Entrada (< $300k),70788633,1,1
MLA1354224197,Celular Motorola Moto Edge 30 Ultra 128GB,Motorola,Celulares y Smartphones,1378499,1378499,0,509,29,Despacho en Correo,Sí,Vendedor Estándar,No,1,new,Gama Alta (> $700k),701655991,0,0
MLA1302014446,Celular Samsung Galaxy A14 128GB,Samsung,Celulares y Smartphones,402901,402901,0,98,26,Colecta / Depósito,Sí,MercadoLíder Platinum,Sí,6,new,Gama Media ($300k - $700k),39484298,0,1
